Protein,Stability,Time,Algorithm
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,11.187184681002691,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-8,11.244843573003891,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.118971215000784,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.200961110000208,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.143285022000782,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.264960727996367,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.067941686000268,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.282730560000346,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.079687468001794,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-12,11.180237582004338,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.313802837998082,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.096077597001567,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,11.21227382300276,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-12,11.041143458001898,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-9,11.179371610996895,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.189760141998704,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.318060028999753,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-9,11.006012395002472,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.19865099600429,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.243914970000333,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-12,11.304855018002854,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,11.086123402004887,SimulatedAnnealing9
